id,title,description,image,method_of_making,animation,perceptual_realism,encodings,contextual,mechanisms,link
ex-001,Hold Me Longer,,media/ex-001.png,Graphic design - Illustration,Static,Intermediate,Size; Bend,Simple Materials; Compress; Simple Materials; Shape; Spatial Arrangement - Alignment,,https://www.behance.net/gallery/134157179/Data-Doodles-2021
ex-002,Air Transformed,,media/ex-002.png,Photograph of physical artefact,Static,High,Size; Shape; Simple Materials; Position,Spatial Arrangement - Stacking; Environment / Background,,https://www.stefanieposavec.com/projects/airtransformed
ex-003,Percentage of Catholics,,media/ex-003.png,Photograph of physical artefact,Static,High,Size; Count; Position,Shape; Simple Materials; Spatial Arrangement - Stacking; Spatial Arrangement - Alignment; Environment / Background; Lighting,,https://www.instagram.com/p/C0_sIkCNd8H/?img_index=2
ex-004,Noway Norway,,media/ex-004.png,Graphic design - Illustration,Static,Intermediate,Size; Shape; Position; Segment / Cut,Simple Materials; Shape; Shape; Simple Materials; Shape,,https://www.behance.net/gallery/87757735/Chit-Chart?tracking_source=search_projects_featured_date%7Cinfographic#
ex-005,Garbage Dumps in the Ocean,,media/ex-005.png,3D render,Static,Intermediate,Simple Materials; Size; Count; Position,Simple Materials; Shape; Spatial Arrangement - Scattering; Spatial Arrangement - Stacking; Lighting; Camera,,https://scicom-lab.com/project/explore-the-ocean
ex-006,The strategic markets,,media/ex-006.png,Unknown,Static,High,Position; Simple Materials; Size,Shape; Spatial Arrangement - Other; Lighting; Environment / Background,,https://infogra.ru/infographics/infografika-adriana-atta
ex-007,Rising Sea Levels,"he data visualization poster is designed to highlight why rising sea level matters. Each island floating represents one of the 10 countries the most affected by the sea-level rise. The extent to which these islands are located vertically symbolizes the millions of people from these countries that will also be underwater. If countries continue to produce greenhouse gas following the same trajectory (RCP 4.5), homes of now more than 200 million people could fall permanently below the high tide line by 2100. By limiting our gas emissions (RCP 2.6), we could save millions of lives from floods and countries from catastrophic human and economic consequences.",media/ex-007.png,Graphic design - Illustration,Static,Intermediate,Position; Simple Materials; Shape; Size; Other; Position,Spatial Arrangement - Alignment; Shape; Simple Materials; Camera; Lighting,,https://www.behance.net/gallery/118410403/Rising-Sea-Levels-a-DataViz-Collaboration
ex-008,Nantes Metropole,,media/ex-008.png,Graphic design - Illustration,Static,Very high,Size; Simple Materials; Position,Shape; Simple Materials; Spatial Arrangement - Stacking; Lighting; Camera,Rigid-Body Mechanics,http://rokovoko.fr/realisations/la-cantine
ex-009,Structure of Daugavpils municipality expenditures,"36% Izglītība = Education
15% Citi = Other
7% Izpildvaras izdevumi = Executive / administration expenses
11% Sociālā aizsardzība = Social protection
31% Ekonomiskā darbība = Economic activity",media/ex-009.png,Photograph of physical artefact,Static,High,Size; Segment / Cut; Position,Simple Materials; Shape; Spatial Arrangement - Other; Environment / Background; Lighting,,https://www.behance.net/gallery/3565949/Municipal-expense
ex-010,Carbon Dioxide Savings,,media/ex-010.png,3D render,Static,Intermediate,Size; Position; Size; Size,Shape; Simple Materials; Spatial Arrangement - Stacking; Simple Materials; Shape; Camera; Lighting,,https://www.visualcapitalist.com/emissions-change-fortune-500/
ex-011,Cargo Leaders,,media/ex-011.png,Graphic design - Illustration,Static,Intermediate,Size; Lighting; Position; Shape; Simple Materials,Simple Materials; Spatial Arrangement - Alignment; Shape; Simple Materials; Camera; Lighting,,https://chitchart.com/chart/worlds-top-export-countries
ex-012,Who Owns Helium,,media/ex-012.png,Other,Static,High,Size; Simple Materials; Position; Size; Size,Shape; Simple Materials; Spatial Arrangement - Other; Shape; Simple Materials; Simple Materials; Shape; Environment / Background; Lighting; Camera,,https://www.voronoiapp.com/natural-resources/Who-Owns-Helium-6913
ex-013,Handmade Visualization Toolkit,,media/ex-013.png,Photograph of physical artefact,Static,Very high,Size; Simple Materials; Position,Shape; Simple Materials; Other; Environment / Background; Lighting; Camera,Rigid-Body Mechanics,https://dataphys.org/list/jose-duartes-handmade-visualization-toolkit/
ex-014,The World’s Largest Merchant Marine Fleets,,media/ex-014.png,Graphic design - Illustration,Static,Low,Size; Simple Materials; Position,Shape; Simple Materials; Spatial Arrangement - Packing; Shape; Simple Materials; Camera; Environment / Background,,https://www.voronoiapp.com/economy/The-Worlds-Largest-Merchant-Marine-Fleets--6770
ex-015,Pandemic and Creativity Report,,media/ex-015.png,Graphic design - Illustration,Static,Intermediate,Size; Simple Materials,Spatial Arrangement - Stacking; Simple Materials; Shape; Simple Materials; Shape,,https://www.behance.net/gallery/109802031/Data-Illustrations-WePresent-Ideas-Report-2020
ex-016,Countries with Highest Amount of Vegetarians,,media/ex-016.png,Photograph of physical artefact,Static,High,Size; Count; Position,Simple Materials; Shape; Segment / Cut; Spatial Arrangement - Stacking; Spatial Arrangement - Alignment; Environment / Background; Camera,Deformable Solid Mechanics; Deformable Solid Mechanics; Deformable Solid Mechanics; Rigid-Body Mechanics; Rigid-Body Mechanics,https://www.behance.net/gallery/82653729/Information-Design
ex-017,Average Salary in Ibero-American Territories,,media/ex-017.png,Graphic design - Illustration,Static,Low,Size; Position,Spatial Arrangement - Alignment; Camera; Environment / Background,,https://www.instagram.com/p/CpJ3LzujLAZ/
ex-018,Life & Death,,media/ex-018.png,Photograph of physical artefact,Static,Very high,Simple Materials; Size; Segment / Cut; Size; Shape,Spatial Arrangement - Other; Camera; Environment / Background,,https://blog.chloesilver.ca/2015/03/photorealistic-infographics.html
ex-019,Largest Labor Forces by Country,,media/ex-019.png,Other,Static,Low,Size; Position; Simple Materials; Position,Other; Simple Materials; Spatial Arrangement - Packing; Environment / Background,,https://www.voronoiapp.com/work/Ranked-Largest-Labor-Forces-by-Country-6912
